,Rank,track_popularity,prop_loudness,prop_speechiness,prop_instrumentalness
590,91,2,-6.129,0.0342,0.0
591,92,49,-3.782,0.0666,0.000833
592,93,66,-4.208,0.0631,0.0013
593,94,73,-4.981,0.0621,1.94e-06
594,95,32,-9.882,0.0317,7.83e-05
595,96,62,-6.253,0.0406,0.0
596,97,78,-5.556,0.195,0.0
597,98,76,-5.098,0.0581,0.0
598,99,0,-8.522,0.134,0.0
599,100,68,-5.288,0.203,0.0
600,1,0,-7.028,0.282,3.49e-06
601,2,84,-5.609,0.0536,0.0018
602,3,0,-9.828,0.438,0.0
603,4,83,-5.599,0.0338,0.0
604,5,1,-6.129,0.0342,0.0
605,6,70,-4.943,0.449,1.68e-06
606,7,0,-5.008,0.049,0.0
607,8,67,-4.931,0.215,2.01e-06
608,9,3,-5.948,0.107,1.75e-06
609,10,75,-6.238,0.0946,0.0
610,11,86,-5.279,0.0278,1.94e-05
611,12,80,-3.669,0.045,0.0
612,13,76,-5.715,0.0751,0.0
613,14,59,-4.271,0.0496,0.0
614,15,73,-4.582,0.0876,0.0
615,16,45,-5.728,0.0457,9.86e-06
616,17,79,-8.053,0.134,0.0
617,18,70,-6.444,0.0425,0.0
618,19,1,-4.061,0.0889,8.23e-06
619,20,79,-8.091,0.244,0.0
620,21,82,-4.078,0.341,0.0
621,22,71,-5.849,0.141,8.41e-05
622,23,0,-5.092,0.0432,0.0
623,24,1,-4.081,0.274,0.0
624,25,79,-2.787,0.0332,0.119
625,26,73,-7.055,0.0561,0.00377
626,27,0,-4.194,0.104,0.0
627,28,76,-5.88,0.0409,0.0
628,29,82,-6.487,0.0377,6.92e-06
629,30,0,-5.883,0.247,0.0
630,31,74,-6.164,0.0489,0.0
631,32,72,-4.421,0.0493,0.0
632,33,70,-4.188,0.0828,0.0
633,34,0,-6.429,0.0286,0.000198
634,35,58,-7.778,0.0302,0.0
635,36,2,-5.936,0.0489,0.0
636,37,69,-4.01,0.0304,0.0
637,38,65,-4.888,0.0653,0.0
638,39,68,-5.273,0.082,0.0
639,40,0,-5.32,0.0385,0.0
640,41,0,-8.094,0.0587,0.000119
641,42,81,-5.371,0.0349,2.63e-05
642,43,1,-4.716,0.0882,1.65e-06
643,44,77,-6.645,0.111,8.42e-06
644,45,78,-5.556,0.195,0.0
645,46,75,-5.861,0.0432,3.94e-06
646,47,1,-8.361,0.0875,3.08e-06
647,48,77,-6.518,0.0959,0.0
648,49,73,-7.839,0.104,4.88e-05
649,50,73,-10.511,0.0583,6.5e-06
650,51,65,-3.974,0.104,0.0
651,52,61,-8.379,0.0366,0.0
652,53,59,-3.645,0.0446,0.0
653,54,0,-8.38,0.19,0.0
654,55,67,-7.274,0.0535,4.44e-06
655,56,64,-4.23,0.0908,0.0
656,57,77,-13.4,0.3,0.0
657,58,0,-5.331,0.0436,0.0
658,59,63,-3.515,0.0824,1.5e-06
659,60,67,-7.161,0.118,2.44e-06
660,61,76,-4.792,0.0499,0.0
661,62,0,-5.825,0.171,0.0
662,63,67,-4.014,0.0397,0.00762
663,64,78,-5.094,0.172,0.00508
664,65,0,-5.307,0.0487,0.0
665,66,70,-5.711,0.0601,0.0154
666,67,79,-5.446,0.0517,0.0
667,68,80,-5.355,0.0393,0.0
668,69,0,-6.039,0.0281,0.0
