,Rank,track_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo
453,54,71,0.719,0.786,0.671,130.027
454,55,74,0.856,0.386,0.527,98.052
455,56,65,0.753,0.794,0.801,128.011
456,57,56,0.76,0.759,0.652,100.315
457,58,75,0.5,0.37,0.292,145.879
458,59,72,0.61,0.673,0.893,104.031
459,60,65,0.964,0.646,0.605,129.994
460,61,0,0.707,0.437,0.771,142.016
461,62,0,0.645,0.375,0.832,112.028
462,63,62,0.441,0.182,0.921,175.001
463,64,0,0.787,0.947,0.848,121.989
464,65,55,0.308,0.109,0.563,85.901
465,66,62,0.68,0.468,0.84,104.975
466,67,54,0.733,0.701,0.676,97.448
467,68,2,0.545,0.458,0.78,125.014
468,69,66,0.83,0.735,0.52,104.99
469,70,71,0.742,0.431,0.595,101.013
470,71,73,0.885,0.728,0.581,114.016
471,72,0,0.653,0.545,0.829,124.989
472,73,80,0.677,0.493,0.485,82.001
473,74,81,0.781,0.591,0.445,78.998
474,75,72,0.841,0.616,0.522,99.059
475,76,2,0.829,0.45,0.51,119.993
476,77,72,0.814,0.726,0.622,119.976
477,78,66,0.718,0.96,0.792,90.949
478,79,71,0.544,0.51,0.915,126.094
479,80,2,0.439,0.104,0.153,116.76
480,81,62,0.67,0.235,0.476,96.975
481,82,73,0.543,0.371,0.485,136.961
482,83,69,0.421,0.499,0.791,130.075
483,84,69,0.407,0.247,0.725,196.093
484,85,69,0.818,0.939,0.67,119.988
485,86,53,0.716,0.124,0.67,86.01
486,87,68,0.711,0.663,0.508,98.098
487,88,67,0.609,0.76,0.885,124.959
488,89,0,0.826,0.666,0.571,153.972
489,90,69,0.589,0.401,0.621,140.03
490,91,44,0.614,0.411,0.972,127.966
491,92,67,0.702,0.446,0.629,141.967
492,93,69,0.407,0.0765,0.147,141.284
493,94,3,0.714,0.406,0.451,127.787
494,95,65,0.697,0.721,0.621,81.946
495,96,48,0.525,0.383,0.803,100.094
496,97,0,0.789,0.66,0.915,127.955
497,98,59,0.719,0.738,0.935,120.022
498,99,67,0.636,0.463,0.761,120.837
499,100,50,0.686,0.0951,0.524,124.938
500,1,81,0.856,0.928,0.609,114.988
501,2,81,0.781,0.591,0.445,78.998
502,3,80,0.689,0.283,0.481,80.025
503,4,77,0.845,0.793,0.567,125.02
504,5,73,0.723,0.274,0.809,98.007
505,6,75,0.659,0.426,0.381,119.844
506,7,78,0.262,0.275,0.606,189.857
507,8,78,0.553,0.467,0.664,140.06
508,9,79,0.656,0.481,0.627,99.933
509,10,78,0.628,0.104,0.593,125.026
510,11,82,0.76,0.57,0.703,95.997
511,12,76,0.647,0.396,0.823,99.933
512,13,76,0.509,0.55,0.671,118.413
513,14,78,0.746,0.746,0.754,149.882
514,15,1,0.777,0.843,0.896,111.987
515,16,80,0.721,0.724,0.802,124.022
516,17,0,0.586,0.319,0.613,114.101
517,18,79,0.73,0.595,0.703,138.113
518,19,70,0.654,0.221,0.655,170.16
519,20,84,0.527,0.654,0.835,125.983
520,21,0,0.658,0.789,0.741,98.024
521,22,0,0.627,0.608,0.749,91.522
522,23,78,0.646,0.418,0.823,128.035
523,24,77,0.588,0.487,0.791,94.933
524,25,72,0.655,0.832,0.782,79.427
525,26,73,0.583,0.276,0.732,145.992
526,27,0,0.609,0.515,0.378,100.418
527,28,74,0.472,0.24,0.714,98.992
528,29,79,0.579,0.613,0.736,127.999
529,30,81,0.578,0.619,0.866,128.038
530,31,0,0.616,0.343,0.765,122.916
531,32,0,0.373,0.605,0.858,120.063
532,33,45,0.622,0.599,0.808,122.121
533,34,72,0.712,0.411,0.564,95.95
534,35,69,0.672,0.438,0.593,98.02
535,36,80,0.654,0.41,0.76,99.945
536,37,83,0.585,0.137,0.564,113.003
537,38,1,0.688,0.565,0.532,164.068
538,39,66,0.736,0.114,0.761,119.999
539,40,77,0.63,0.417,0.53,108.038
540,41,75,0.596,0.525,0.73,85.979
541,42,0,0.458,0.417,0.623,147.635
542,43,76,0.564,0.33,0.714,175.924
543,44,85,0.588,0.337,0.521,85.012
544,45,73,0.884,0.594,0.765,99.987
545,46,2,0.377,0.264,0.595,144.464
546,47,70,0.775,0.95,0.825,139.091
547,48,70,0.513,0.235,0.768,84.264
548,49,76,0.738,0.336,0.868,122.003
549,50,64,0.616,0.621,0.789,83.066
550,51,64,0.594,0.344,0.749,130.064
551,52,77,0.782,0.603,0.685,118.016
552,53,1,0.59,0.537,0.833,94.963
553,54,71,0.681,0.181,0.521,94.997
554,55,0,0.561,0.375,0.877,130.003
555,56,77,0.582,0.354,0.272,205.846
556,57,0,0.754,0.582,0.799,122.037
557,58,78,0.705,0.583,0.769,107.949
558,59,74,0.618,0.603,0.717,190.05
